Trf_Msg,Alpha_letters,Len_Of_Words,No_of_Chars,No_of_Sentences,No_of_digits,Num_chars,Special_chars,Target
go jurong point crazi avail bugi great world la buffet cine got amor wat,83,20,111,1,0,0,9,0
ok lar joke wif oni,18,6,29,1,0,0,6,0
free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate appli,97,30,155,1,6,25,6,1
dun say earli hor alreadi say,33,11,49,1,0,0,6,0
nah think goe usf live around though,47,14,61,1,0,0,2,0
freemsg hey darl week word back like fun still tb ok xxx std chg send rcv,103,33,148,4,3,4,8,1
even brother like speak treat like aid patent,60,16,77,2,0,0,2,0
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,128,25,160,2,1,1,6,0
winner valu network custom select receivea prize reward claim call claim code kl valid hour,106,23,158,4,4,19,6,1
mobil month entitl updat latest colour mobil camera free call mobil updat co free,111,27,154,3,2,13,2,1
gon na home soon want talk stuff anymor tonight cri enough today,83,24,109,2,0,0,6,0
six chanc win cash pound txt csh send cost day day tsandc appli repli hl info,81,22,136,2,9,22,8,1
urgent week free membership prize jackpot txt word claim www dbuk net lccltd pobox ldnw rw,101,28,156,3,8,20,8,1
search right word thank breather promis wont take help grant fulfil promis wonder bless time,156,38,196,3,0,0,4,0
date sunday,26,8,35,2,0,0,2,0
xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com qjkgighjjgcbl,120,23,149,2,0,0,11,1
oh watch,17,6,26,1,0,0,6,0
eh rememb spell name ye naughti make wet,57,18,81,2,1,1,5,0
fine way feel way gota,41,15,58,2,0,0,1,0
england macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox wq,100,24,156,2,8,23,8,1
serious spell name,33,8,41,1,0,0,1,0
go tri month ha ha joke,35,11,49,1,1,1,0,0
pay first lar da stock comin,35,10,53,1,0,0,6,0
aft finish lunch go str lor ard smth lor finish ur lunch alreadi,65,19,88,3,1,1,3,0
ffffffffff alright way meet sooner,45,11,57,2,0,0,2,0
forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,110,30,144,6,0,0,7,0
lol alway convinc,25,5,30,1,0,0,1,0
catch bu fri egg make tea eat mom left dinner feel love,97,29,134,5,0,0,6,0
back amp pack car let know room,54,19,75,1,0,0,7,0
ahhh work vagu rememb feel like lol,49,12,64,5,0,0,4,0
